_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sun Jul 19 14:00:43 EEST 2020;false
_ga;GA1.2.650822483.1595156383;.guru99.com;/;Tue Jul 19 13:59:43 EEST 2022;false
PHPSESSID;fhaophsikvtcs1olorp8hult14;www.demo.guru99.com;/;null;false
_gid;GA1.2.1916351977.1595156383;.guru99.com;/;Mon Jul 20 13:59:43 EEST 2020;false
